#,ENGINEER ONLY - Enter installation client ref (excluding the letters),ENGINEER,Did the engineer arrive on time?,How satisfied were you with the quality and standard of the work that was carried out?,How satisfied were you with the connection speed demonstrated?,Based just on your install experience today how likely are you to recommend Freedom Fibre to a friend or colleague?,Please add any further comments you have that would help better our service.,Response Type,Start Date (UTC),Stage Date (UTC),Submit Date (UTC),Network ID
d4aqw3ri18qmnp66d4aqg81ypq3up14r,10005866,Anthony,1,5,3,5,"Unable to comment on speeds as haven't been able to use it much, i did ask a question when he was making the install the box has a fault and asked if would be able to replaced by TalkTalk.",completed,13/04/2023 13:07,,13/04/2023 13:08,f0f0240483
y8m9gfe8z5x6tkonqrzhxy8m9gfjdm2a,10005702,Anthony,1,5,5,5,N/a,completed,13/04/2023 10:04,,13/04/2023 10:05,f0f0240483
plazbbo0uqnwcy2nplazldv5wenycjtm,10005859,Mark,1,5,5,3,Its all fine,completed,13/04/2023 10:00,,13/04/2023 10:01,f0f0240483
4zx4n5mg4urfb5y1zt4zxl7290q4gyl7,146095011,Callum,1,5,5,5,its all good,completed,13/04/2023 09:57,,13/04/2023 09:58,f0f0240483
3d32sdr4lxajbq181s3d32scec5toyf5,10005645,Callum,1,5,5,5,HE did excellent work,completed,13/04/2023 09:55,,13/04/2023 09:56,f0f0240483
jxdj8xhsx3z4k478jxdj8tz63anw6t15,10005972,Brandon,1,5,5,5,The installed didn't test first but that's the only thing,completed,13/04/2023 09:49,,13/04/2023 09:50,f0f0240483
aj81ju2oqj1bt9noaj81jux36qjhv33g,10005847,Mark,1,5,5,5,They put the internet in a better location,completed,11/04/2023 13:17,,11/04/2023 13:19,f0f0240483
343ii3ad6h81ldlj343iitgejydtc03u,10006239,Mark,1,5,5,5,All very good,completed,11/04/2023 13:13,,11/04/2023 13:14,f0f0240483
i65asrehxwu13vz74i65asa472l0ketu,10005851,Paul,1,5,4,4,like to compliment the engineer that came on his neatness he fitted everything very carefully with minimal disruption,completed,11/04/2023 09:44,,11/04/2023 09:46,f0f0240483
aou744zb4e3v3mgnjoiaou7l9bxw40a0,10005858,Anthony,1,5,5,5,They did a good job,completed,11/04/2023 09:42,,11/04/2023 09:43,f0f0240483
nzwaphfyzblmky4inzwapaqmd627rguw,10005639,Mark,1,5,3,5,The engineer told me to speak to someone in talk talk and could do with some power line adaptors,completed,11/04/2023 09:24,,11/04/2023 09:40,f0f0240483
xjpeq8gfu3ogwcqlp3axjpeqpzmceh7u,10005831,Paul,1,5,5,5,it was done efficiently and cleanly,completed,08/04/2023 08:58,,08/04/2023 09:01,f0f0240483
